,zpid,Outcome,Asking Price,My Prediction,Decision,Won?,Cost Paid,True Value,Profit,Auction Bids,Winner
146,1015742,Skip,,209092.07440370927,Skip: below threshold,—,,,,,
147,1014769,Skip,,341910.39157484745,Skip: below threshold,—,,,,,
148,1003520,Skip,,525453.4536236748,Skip: no budget,—,,,,,
149,1008729,Skip,,472331.6443427957,Skip: no budget,—,,,,,
150,1011971,Skip,,588780.1452581584,Skip: below threshold,—,,,,,
151,1006401,Skip,,514876.1065310486,Skip: below threshold,—,,,,,
152,1001890,Skip,,1152243.3955159648,Skip: no budget,—,,,,,
153,1010251,Skip,,365014.3754105355,Skip: below threshold,—,,,,,
154,1008139,Skip,,348124.48604283435,Skip: below threshold,—,,,,,
155,1015269,Skip,,1013931.6511610592,Skip: no budget,—,,,,,
156,1011513,Skip,,193242.40543520945,Skip: no budget,—,,,,,
157,1011882,Skip,,200357.60102102807,Skip: no budget,—,,,,,
158,1015347,Skip,,590731.3205184552,Skip: below threshold,—,,,,,
159,1015582,Skip,,944096.6636730924,Skip: below threshold,—,,,,,
160,1009665,Skip,,698035.6064166679,Skip: no budget,—,,,,,
161,1010508,Skip,,457472.7939686116,Skip: no budget,—,,,,,
162,1010463,Skip,,972325.822933532,Skip: below threshold,—,,,,,
163,1006947,Skip,,185467.21463823903,Skip: no budget,—,,,,,
164,1008141,Skip,,364210.0943263832,Skip: below threshold,—,,,,,
165,1009198,Skip,,837931.3077094941,Skip: no budget,—,,,,,
166,1013623,Skip,,575527.1009079826,Skip: below threshold,—,,,,,
167,1003922,Skip,,388497.2718220651,Skip: no budget,—,,,,,
168,1003116,Skip,,911800.86417472,Skip: below threshold,—,,,,,
169,1006659,Skip,,580487.778654584,Skip: below threshold,—,,,,,
170,1001453,Skip,,235771.94236362496,Skip: below threshold,—,,,,,
171,1012398,Skip,,424044.566831482,Skip: below threshold,—,,,,,
172,1016566,Skip,,158689.69974849265,Skip: no budget,—,,,,,
173,1004733,Skip,,598804.1567732233,Skip: below threshold,—,,,,,
174,1010533,Skip,,333755.1597266681,Skip: no budget,—,,,,,
175,1016219,Skip,,574070.1751863525,Skip: below threshold,—,,,,,
176,1010466,Skip,,1347017.7559800197,Skip: no budget,—,,,,,
177,1003265,Skip,,480914.7526686781,Skip: below threshold,—,,,,,
178,1016279,Skip,,404313.2326171919,Skip: no budget,—,,,,,
179,1017214,Skip,,395413.0918075748,Skip: no budget,—,,,,,
180,1004209,Skip,,772164.1894351351,Skip: no budget,—,,,,,
181,1015683,Skip,,622767.7699734004,Skip: below threshold,—,,,,,
182,1007722,Skip,,390483.2181735143,Skip: no budget,—,,,,,
183,1003358,Skip,,137681.96244002294,Skip: below threshold,—,,,,,
184,1006698,Skip,,695719.0724908465,Skip: no budget,—,,,,,
185,1012567,Skip,,616866.1383276456,Skip: below threshold,—,,,,,
186,1012482,Skip,,1222280.6875332587,Skip: no budget,—,,,,,
187,1006148,Skip,,628267.923848557,Skip: no budget,—,,,,,
188,1009279,Skip,,439055.8092870708,Skip: no budget,—,,,,,
189,1017591,Skip,,163660.49346105155,Skip: no budget,—,,,,,
190,1002162,Skip,,290618.92249726935,Skip: below threshold,—,,,,,
191,1000976,Skip,,829695.3756361606,Skip: no budget,—,,,,,
192,1012457,Skip,,378081.4808577518,Skip: below threshold,—,,,,,
193,1006098,Skip,,570375.726433631,Skip: below threshold,—,,,,,
194,1014360,Skip,,137193.81286862865,Skip: no budget,—,,,,,
195,1010338,Skip,,140999.65123373712,Skip: below threshold,—,,,,,
196,1015904,Skip,,761174.3177525821,Skip: no budget,—,,,,,
197,1008507,Skip,,655858.4850720818,Skip: no budget,—,,,,,
198,1014228,Skip,,316512.0129924576,Skip: below threshold,—,,,,,
199,1013657,Skip,,587069.2198234389,Skip: below threshold,—,,,,,
200,1007955,Skip,,496829.5259421808,Skip: below threshold,—,,,,,
201,1010999,Skip,,351083.2950389564,Skip: no budget,—,,,,,
202,1009251,Skip,,906695.5424894528,Skip: no budget,—,,,,,
203,1006183,Skip,,207030.5017315856,Skip: below threshold,—,,,,,
204,1014611,Skip,,459245.3260072306,Skip: no budget,—,,,,,
205,1009079,Skip,,326979.60435407434,Skip: below threshold,—,,,,,
206,1013761,Skip,,309011.606335477,Skip: below threshold,—,,,,,
207,1016408,Skip,,292182.49634331773,Skip: no budget,—,,,,,
208,1006496,Skip,,140854.38471599366,Skip: no budget,—,,,,,
209,1010666,Skip,,216475.84115155708,Skip: no budget,—,,,,,
210,1004014,Skip,,499713.5801704906,Skip: no budget,—,,,,,
211,1002110,Skip,,585141.7999958501,Skip: below threshold,—,,,,,
212,1005492,Skip,,213609.9084953036,Skip: no budget,—,,,,,
213,1001884,Skip,,146909.13384963502,Skip: no budget,—,,,,,
214,1016679,Skip,,141313.53644168135,Skip: no budget,—,,,,,
215,1004076,Skip,,248283.5459145491,Skip: no budget,—,,,,,
216,1014259,Skip,,333673.7246628317,Skip: below threshold,—,,,,,
217,1002111,Skip,,1193409.4279900668,Skip: below threshold,—,,,,,
218,1014171,Skip,,482654.63101725647,Skip: no budget,—,,,,,
219,1000142,Skip,,266035.9286755488,Skip: below threshold,—,,,,,
220,1007823,Skip,,378432.6194929976,Skip: below threshold,—,,,,,
221,1008771,Skip,,518641.1969761076,Skip: no budget,—,,,,,
222,1003446,Skip,,262182.3687744133,Skip: below threshold,—,,,,,
223,1006887,Skip,,408147.30952165794,Skip: no budget,—,,,,,
224,1012508,Skip,,413064.2677011783,Skip: no budget,—,,,,,
225,1012570,Skip,,441687.0628253585,Skip: no budget,—,,,,,
226,1001732,Skip,,927559.0831038431,Skip: below threshold,—,,,,,
227,1014039,Skip,,503946.007024658,Skip: below threshold,—,,,,,
228,1009171,Skip,,540034.0264781723,Skip: below threshold,—,,,,,
229,1005505,Skip,,1202284.9950336327,Skip: below threshold,—,,,,,
230,1007703,Skip,,622443.0009520502,Skip: below threshold,—,,,,,
231,1009220,Skip,,482237.6522308945,Skip: below threshold,—,,,,,
232,1016381,Skip,,199947.0471318617,Skip: below threshold,—,,,,,
233,1002353,Skip,,768778.9301318589,Skip: no budget,—,,,,,
234,1008936,Skip,,201202.55323251933,Skip: below threshold,—,,,,,
235,1009607,Skip,,606399.7976618047,Skip: below threshold,—,,,,,
236,1006321,Skip,,395539.00628190936,Skip: no budget,—,,,,,
237,1005860,Skip,,383686.564158592,Skip: no budget,—,,,,,
238,1014722,Skip,,199866.64231103144,Skip: no budget,—,,,,,
239,1000563,Skip,,186485.90473209007,Skip: no budget,—,,,,,
240,1010559,Skip,,679541.5178933422,Skip: no budget,—,,,,,
241,1017248,Skip,,207163.98428782364,Skip: no budget,—,,,,,
242,1003447,Skip,,392410.4448057263,Skip: below threshold,—,,,,,
243,1005172,Skip,,880860.0596487332,Skip: below threshold,—,,,,,
244,1015883,Skip,,1409597.522480592,Skip: no budget,—,,,,,
245,1003243,Skip,,182719.9348252033,Skip: below threshold,—,,,,,
246,1011121,Skip,,781051.9634817804,Skip: below threshold,—,,,,,
247,1017368,Skip,,357758.47705454484,Skip: no budget,—,,,,,
248,1009749,Skip,,1087087.7119135472,Skip: below threshold,—,,,,,
249,1012973,Skip,,421548.5883733795,Skip: no budget,—,,,,,
